"","x"
"209","LMO7_HUMAN"
"210","M3K2_HUMAN"
"211","IKKA_HUMAN"
"212","ZC12B_HUMAN"
"213","RBM26_HUMAN"
"214","RSPRY_HUMAN"
"215","RN169_HUMAN"
"216","CUL9_HUMAN"
"217","KDM5C_HUMAN"
"218","KAT6A_HUMAN"
"219","RBNS5_HUMAN"
"220","TRI45_HUMAN"
"221","KHDR1_HUMAN"
"222","ARHG2_HUMAN"
"223","EGFR_HUMAN"
"224","AREL1_HUMAN"
"225","RNF39_HUMAN"
"226","NSD1_HUMAN"
"227","NFXL1_HUMAN"
"228","CHD3_HUMAN"
"229","TNR25_HUMAN"
"230","AURKB_HUMAN"
"231","RIPK4_HUMAN"
"232","PRIC1_HUMAN"
"233","MSL2_HUMAN"
"234","RN150_HUMAN"
"235","ZNRF4_HUMAN"
"236","MKRN3_HUMAN"
"237","RNF38_HUMAN"
"238","PHF2_HUMAN"
"239","TRI67_HUMAN"
"240","TRIM9_HUMAN"
"241","BAZ1B_HUMAN"
"242","KMT2B_HUMAN"
"243","MYRIP_HUMAN"
"244","KDM4A_HUMAN"
"245","RING2_HUMAN"
"246","TRI46_HUMAN"
"247","KDM7A_HUMAN"
"248","TF2H2_HUMAN"
"249","T2H2L_HUMAN"
"250","NALP4_HUMAN"
"251","ZFY16_HUMAN"
"252","ING2_HUMAN"
"253","GSK3B_HUMAN"
"254","WDFY3_HUMAN"
"255","RAPSN_HUMAN"
"256","ZFYV9_HUMAN"
"257","HS71B_HUMAN"
"258","HS71A_HUMAN"
"259","BIP_HUMAN"
"260","DAPK1_HUMAN"
"261","MAG_HUMAN"
"262","PTPRJ_HUMAN"
"263","KPCL_HUMAN"
"264","NLRP9_HUMAN"
"265","PHF1_HUMAN"
"266","AF17_HUMAN"
"267","KMT2D_HUMAN"
"268","TCF19_HUMAN"
"269","ATRX_HUMAN"
"270","RIMS2_HUMAN"
"271","TGFB1_HUMAN"
"272","HNRPD_HUMAN"
"273","RASK_HUMAN"
"274","FBW1A_HUMAN"
"275","CATIN_HUMAN"
"276","CSK_HUMAN"
"277","M3K3_HUMAN"
"278","PHRF1_HUMAN"
"279","RAI1_HUMAN"
"280","BSN_HUMAN"
"281","PZRN4_HUMAN"
"282","TCF20_HUMAN"
"283","BPTF_HUMAN"
"284","BRD1_HUMAN"
"285","TRM1_HUMAN"
"286","FGD5_HUMAN"
"287","RN222_HUMAN"
"288","KMT2C_HUMAN"
"289","ZC3HD_HUMAN"
"290","U2AFL_HUMAN"
"291","LONF3_HUMAN"
"292","LENG9_HUMAN"
"293","R113B_HUMAN"
"294","NEU1B_HUMAN"
"295","ZC3H3_HUMAN"
"296","ZGPAT_HUMAN"
"297","ING1_HUMAN"
"298","VPS8_HUMAN"
"299","PP1RA_HUMAN"
"300","DUS3L_HUMAN"
"301","DIDO1_HUMAN"
"302","ZFY26_HUMAN"
"303","BAZ2B_HUMAN"
"304","RN225_HUMAN"
"305","U2AF1_HUMAN"
"306","U2AF5_HUMAN"
"307","KMT2E_HUMAN"
"308","RNF44_HUMAN"
"309","ZC3HE_HUMAN"
"310","PHF14_HUMAN"
"311","FGD6_HUMAN"
"312","P20L1_HUMAN"
"313","TRM44_HUMAN"
"314","ZC3H6_HUMAN"
"315","MEX3C_HUMAN"
"316","HDAC9_HUMAN"
"317","PSB2_HUMAN"
"318","PRS4_HUMAN"
"319","PSMD1_HUMAN"
"320","PSMD3_HUMAN"
"321","PSB6_HUMAN"
"322","PPM1A_HUMAN"
"323","RUSC1_HUMAN"
"324","PSA1_HUMAN"
"325","PELI3_HUMAN"
"326","UACA_HUMAN"
"327","DOC10_HUMAN"
"328","LAPM5_HUMAN"
"329","YES_HUMAN"
"330","BAG6_HUMAN"
"331","GSK3A_HUMAN"
"332","RAGE_HUMAN"
"333","LRRK2_HUMAN"
"334","UNC5B_HUMAN"
"335","UNC5A_HUMAN"
"336","PYR1_HUMAN"
"337","RB6I2_HUMAN"
"338","FBX10_HUMAN"
"339","CCND3_HUMAN"
"340","WWP2_HUMAN"
"341","B2L11_HUMAN"
"342","UBA7_HUMAN"
"343","CDK13_HUMAN"
"344","DAG1_HUMAN"
"345","PKHG5_HUMAN"
"346","HIPK1_HUMAN"
"347","PK3CG_HUMAN"
"348","MOBP_HUMAN"
"349","SYTL1_HUMAN"
"350","NALP5_HUMAN"
"351","SYTL2_HUMAN"
"352","PCLO_HUMAN"
"353","ANR17_HUMAN"
"354","MABP1_HUMAN"
"355","SPP2B_HUMAN"
"356","FBX9_HUMAN"
"357","FXL14_HUMAN"
"358","GLYM_HUMAN"
"359","DAB2P_HUMAN"
"360","FBW1B_HUMAN"
"361","WASP_HUMAN"
"362","FBX21_HUMAN"
"363","FBXW5_HUMAN"
"364","SNIP1_HUMAN"
"365","JAK2_HUMAN"
"366","TYRO3_HUMAN"
"367","UFO_HUMAN"
"368","TIE2_HUMAN"
"369","LIRB1_HUMAN"
"370","MERL_HUMAN"
"371","STK38_HUMAN"
"372","KLF4_HUMAN"
"373","NR1H3_HUMAN"
"374","NR1D1_HUMAN"
"375","RB_HUMAN"
"376","CAN15_HUMAN"
"377","C1QBP_HUMAN"
"378","IQGA1_HUMAN"
"379","CDK12_HUMAN"
"380","BTNL3_HUMAN"
"381","CD8A_HUMAN"
"382","ICAM2_HUMAN"
"383","BT2A1_HUMAN"
"384","FCRLB_HUMAN"
"385","CD3D_HUMAN"
"386","IL1AP_HUMAN"
"387","BTNL9_HUMAN"
"388","BTNL8_HUMAN"
"389","IGHE_HUMAN"
"390","LIRB4_HUMAN"
"391","DPA1_HUMAN"
"392","CD19_HUMAN"
"393","HLAG_HUMAN"
"394","HLAA_HUMAN"
"395","LIRA4_HUMAN"
"396","SLAF1_HUMAN"
"397","INLR1_HUMAN"
"398","BT2A3_HUMAN"
"399","PKHD1_HUMAN"
"400","TGM1_HUMAN"
"401","STK24_HUMAN"
"402","MTA70_HUMAN"
"403","LRC14_HUMAN"
"404","MMP7_HUMAN"
"405","MMP26_HUMAN"
"406","UBE2T_HUMAN"
"407","RORG_HUMAN"
"408","LIME1_HUMAN"
"409","STING_HUMAN"
"410","G3BP2_HUMAN"
"411","UBR4_HUMAN"
"412","HERC2_HUMAN"
"413","G3BP1_HUMAN"
"414","RS6_HUMAN"
"415","TNR11_HUMAN"
"416","ADA17_HUMAN"
"417","PDLI7_HUMAN"
"418","RIOK1_HUMAN"
"419","RBM5_HUMAN"
"420","PGFRB_HUMAN"
"421","MK04_HUMAN"
"422","MP2K3_HUMAN"
"423","MK06_HUMAN"
"424","PP1G_HUMAN"
"425","SNAI1_HUMAN"
"426","RS2_HUMAN"
"427","HNRPK_HUMAN"
"428","5NTD_HUMAN"
